編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUNMLPKRHGGFGN37CC,儒明段,114.00,都市：住,,,,00210004
RPPNMLOKRHGGFAN78CC,秀水段,1194.00,都市：農,,,,03070000
RPQNMLQKRHGGFCN66CC,上林段,11865.49,都市：工,,,,06000000
RPQNMLQKRHGGFCN66CC,上林段,5735.43,都市：工,,,,06010000
RPTNMLKMRHGGFAN98CC,南郭段南郭小段,.00,都市：住,,,,01270015
RPTNMLKMRHGGFAN98CC,南郭段南郭小段,.00,都市：住,,,,01270034
RPTNMLKMRHGGFAN98CC,南郭段南郭小段,.00,都市：住,,,,01270035
RPXNMLMKIIGGFDN88CC,中山段,92.00,都市：住,,,,03150000
RPXNMLMKIIGGFDN88CC,中山段,98.00,都市：住,,,,03160000
RPVNMLRJIIGGFFN66CC,大松段,75.00,都市：住,,,,02130002
RPXNMLLJIIGGFAN38CC,南郭段南郭小段,3.85,都市：住,,,,01920011
RPUNMLPKIIGGFAN58CC,西門口段,.00,都市：住,,,,05580000
RPROMLNKIIGGFAN18CC,南郭段南郭小段,.00,都市：住,,,,00380010
RPROMLNKIIGGFAN18CC,南郭段南郭小段,.00,都市：住,,,,00380503
RPOPMLKLIIGGFAN77CC,南郭段南郭小段,.00,都市：住,,,,01530002
RPWOMLSKIIGGFAN56CC,延和段,.00,都市：住,,,,03330017
RPPNMLOJJIGGFDN28CC,員林段,63.00,都市：商,,,,04780008
RPQOMLPJJIGGFDN58CC,黎明段,.00,都市：其他:零售市場用地,,,,01210000
RPTNMLLKJIGGFAN18CC,南郭段南郭小段,.00,都市：住,,,,02370019
RPOOMLLKJIGGFAN87DC,南興段,71.00,都市：住,,,,03550008
RPPNMLMKJIGGFAN08EC,西門口段,240.00,都市：住,,,,04610034
RPUNMLMKJIGGFDN68CC,饒明段,298.40,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,01810000
RPTNMLPKJIGGFAN58CC,中山段,.00,都市：住,,,,00130003
RPQNMLQKJIGGFFN88CC,彰興段,83.13,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,04020000
RPQNMLRKJIGGFGN09CC,儒雅段,199.49,都市：住,,,,06350003
RPQNMLRKJIGGFGN09CC,儒雅段,6.85,都市：住,,,,06350005
RPQNMLRKJIGGFGN09CC,儒雅段,66.48,都市：住,,,,06350006
RPQNMLRKJIGGFGN09CC,儒雅段,126.06,都市：住,,,,06360007
RPPNMLRKJIGGFGN98CC,儒雅段,654.21,都市：住,,,,06360000
RPPNMLRKJIGGFGN98CC,儒雅段,117.41,都市：住,,,,06360002
RPPNMLRKJIGGFGN98CC,儒雅段,116.71,都市：住,,,,06360003
RPPNMLRKJIGGFGN98CC,儒雅段,2.60,都市：住,,,,06330000
RPPNMLRKJIGGFGN98CC,儒雅段,26.90,都市：住,,,,06350001
RPTNMLRKJIGGFAN88DC,大埔段,34.47,都市：住,,,,02970003
RPOOMLQJIIGGFAN08CC,大埔段,.00,都市：住,,,,04310000
RPOOMLQJIIGGFAN08CC,大埔段,.00,都市：其他:道路用地,,,,04310005
RPUNMLRKJIGGFAN98DC,大埔段,34.47,都市：住,,,,02970003
RPTNMLNKIIGGFAN28CC,福竹段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,11620000
RPQNMLRKJIGGFBN68DC,伸股段,94.15,都市：住,,,,00430034
RPQNMLQKRHGGFDN76CC,和平段,87.66,都市：商,,,,09950000
RPUNMLSKIIGGFAN88CC,大埔段,.00,都市：住,,,,05440032
RPUNMLSKIIGGFAN88CC,大埔段,.00,都市：住,,,,05450032
RPUNMLSKIIGGFAN88CC,大埔段,.00,都市：住,,,,05460002
RPPNMLRLIIGGFAN38CC,民生段,.00,都市：商,,,,08260000
RPXNMLLJJIGGFFN98CC,和豐段,107.31,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,11060000
RPQOMLKKJIGGFAN87CC,大埔段,30.17,都市：住,,,,04680000
RPUNMLMLIIGGFCN58CC,上林段,1637.70,非都市：工業區 ; 非都市編定：丁種建築用地,,,,00470000
